Number,Total,Hp,Atk,Def,SpAtk,SpDef,Speed,Type 1,Type 2
202,405,190,33,58,33,58,33,11,
203,455,70,80,65,90,65,85,5,11
204,290,50,65,90,35,35,15,4,
205,465,75,90,140,60,60,40,4,17
206,415,100,70,70,65,65,45,5,
207,430,65,75,105,35,65,85,8,18
208,510,75,85,200,55,65,30,17,8
208,610,75,125,230,55,95,30,17,8
209,300,60,80,50,40,40,30,9,
210,450,90,120,75,60,60,45,9,
211,430,65,95,75,55,55,85,3,6
212,500,70,130,100,55,80,65,4,17
212,600,70,150,140,65,100,75,4,17
213,505,20,10,230,10,230,5,4,12
214,500,80,125,75,40,95,85,4,10
214,600,80,185,115,40,105,75,4,10
215,430,55,95,55,35,75,115,16,14
216,330,60,80,50,50,50,40,5,
217,500,90,130,75,75,75,55,5,
218,250,40,40,40,70,40,20,2,
219,410,50,50,120,80,80,30,2,12
220,250,50,50,40,30,30,50,14,8
221,450,100,100,80,60,60,50,14,8
222,380,55,55,85,65,85,35,3,12
223,300,35,65,35,65,35,65,3,
224,480,75,105,75,105,75,45,3,
225,330,45,55,45,65,45,75,14,18
226,465,65,40,70,80,140,70,3,18
227,465,65,80,140,40,70,70,17,18
228,330,45,60,30,80,50,65,16,2
229,500,75,90,50,110,80,95,16,2
229,600,75,90,90,140,90,115,16,2
230,540,75,95,95,95,95,85,3,15
231,330,90,60,60,40,40,40,8,
232,500,90,120,120,60,60,50,8,
233,515,85,80,90,105,95,60,5,
234,465,73,95,62,85,65,85,5,
235,250,55,20,35,20,45,75,5,
236,210,35,35,35,35,35,35,10,
237,455,50,95,95,35,110,70,10,
238,305,45,30,15,85,65,65,14,11
239,360,45,63,37,65,55,95,7,
240,365,45,75,37,70,55,83,2,
241,490,95,80,105,40,70,100,5,
242,540,255,10,10,75,135,55,5,
243,580,90,85,75,115,100,115,7,
244,580,115,115,85,90,75,100,2,
245,580,100,75,115,90,115,85,3,
246,300,50,64,50,45,50,41,12,8
247,410,70,84,70,65,70,51,12,8
248,600,100,134,110,95,100,61,12,16
248,700,100,164,150,95,120,71,12,16
249,680,106,90,130,90,154,110,11,18
250,680,106,130,90,110,154,90,2,18
251,600,100,100,100,100,100,100,11,1
252,310,40,45,35,65,55,70,1,
253,405,50,65,45,85,65,95,1,
254,530,70,85,65,105,85,120,1,
254,630,70,110,75,145,85,145,1,15
255,310,45,60,40,70,50,45,2,
256,405,60,85,60,85,60,55,2,10
257,530,80,120,70,110,70,80,2,10
257,630,80,160,80,130,80,100,2,10
258,310,50,70,50,50,50,40,3,
259,405,70,85,70,60,70,50,3,8
260,535,100,110,90,85,90,60,3,8
260,635,100,150,110,95,110,70,3,8
261,220,35,55,35,30,30,35,16,
262,420,70,90,70,60,60,70,16,
263,240,38,30,41,30,41,60,5,
264,420,78,70,61,50,61,100,5,
265,195,45,45,35,20,30,20,4,
266,205,50,35,55,25,25,15,4,
267,395,60,70,50,100,50,65,4,18
268,205,50,35,55,25,25,15,4,
269,385,60,50,70,50,90,65,4,6
270,220,40,30,30,40,50,30,3,1
271,340,60,50,50,60,70,50,3,1
272,480,80,70,70,90,100,70,3,1
273,220,40,40,50,30,30,30,1,
274,340,70,70,40,60,40,60,1,16
275,480,90,100,60,90,60,80,1,16
276,270,40,55,30,30,30,85,5,18
277,430,60,85,60,50,50,125,5,18
278,270,40,30,30,55,30,85,3,18
279,430,60,50,100,85,70,65,3,18
280,198,28,25,25,45,35,40,11,9
281,278,38,35,35,65,55,50,11,9
282,518,68,65,65,125,115,80,11,9
282,618,68,85,65,165,135,100,11,9
283,269,40,30,32,50,52,65,4,3
284,414,70,60,62,80,82,60,4,18
285,295,60,40,60,40,60,35,1,
286,460,60,130,80,60,60,70,1,10
287,280,60,60,60,35,35,30,5,
288,440,80,80,80,55,55,90,5,
289,670,150,160,100,95,65,100,5,
290,266,31,45,90,30,30,40,4,8
291,456,61,90,45,50,50,160,4,18
292,236,1,90,45,30,30,40,4,13
293,240,64,51,23,51,23,28,5,
294,360,84,71,43,71,43,48,5,
295,490,104,91,63,91,73,68,5,
296,237,72,60,30,20,30,25,10,
297,474,144,120,60,40,60,50,10,
298,190,50,20,40,20,40,20,5,9
299,375,30,45,135,45,90,30,12,
300,260,50,45,45,35,35,50,5,
301,380,70,65,65,55,55,70,5,
302,380,50,75,75,65,65,50,16,13
302,480,50,85,125,85,115,20,16,13
303,380,50,85,85,55,55,50,17,9
303,480,50,105,125,55,95,50,17,9
304,330,50,70,100,40,40,30,17,12
305,430,60,90,140,50,50,40,17,12
306,530,70,110,180,60,60,50,17,12
306,630,70,140,230,60,80,50,17,
307,280,30,40,55,40,55,60,10,11
308,410,60,60,75,60,75,80,10,11
308,510,60,100,85,80,85,100,10,11
309,295,40,45,40,65,40,65,7,
310,475,70,75,60,105,60,105,7,
310,575,70,75,80,135,80,135,7,
311,405,60,50,40,85,75,95,7,
312,405,60,40,50,75,85,95,7,
313,400,65,73,55,47,75,85,4,
314,400,65,47,55,73,75,85,4,
315,400,50,60,45,100,80,65,1,6
316,302,70,43,53,43,53,40,6,
317,467,100,73,83,73,83,55,6,
318,305,45,90,20,65,20,65,3,16
319,460,70,120,40,95,40,95,3,16
319,560,70,140,70,110,65,105,3,16
320,400,130,70,35,70,35,60,3,
321,500,170,90,45,90,45,60,3,
322,305,60,60,40,65,45,35,2,8
323,460,70,100,70,105,75,40,2,8
323,560,70,120,100,145,105,20,2,8
324,470,70,85,140,85,70,20,2,
325,330,60,25,35,70,80,60,11,
326,470,80,45,65,90,110,80,11,
327,360,60,60,60,60,60,60,5,
328,290,45,100,45,45,45,10,8,
329,340,50,70,50,50,50,70,8,15
330,520,80,100,80,80,80,100,8,15
331,335,50,85,40,85,40,35,1,
332,475,70,115,60,115,60,55,1,16
333,310,45,40,60,40,75,50,5,18
334,490,75,70,90,70,105,80,15,18
334,590,75,110,110,110,105,80,15,9
335,458,73,115,60,60,60,90,5,
336,458,73,100,60,100,60,65,6,
337,440,70,55,65,95,85,70,12,11
338,440,70,95,85,55,65,70,12,11
339,288,50,48,43,46,41,60,3,8
340,468,110,78,73,76,71,60,3,8
341,308,43,80,65,50,35,35,3,
342,468,63,120,85,90,55,55,3,16
343,300,40,40,55,40,70,55,8,11
344,500,60,70,105,70,120,75,8,11
345,355,66,41,77,61,87,23,12,1
346,495,86,81,97,81,107,43,12,1
347,355,45,95,50,40,50,75,12,4
348,495,75,125,100,70,80,45,12,4
349,200,20,15,20,10,55,80,3,
350,540,95,60,79,100,125,81,3,
351,420,70,70,70,70,70,70,5,
352,440,60,90,70,60,120,40,5,
353,295,44,75,35,63,33,45,13,
354,455,64,115,65,83,63,65,13,
354,555,64,165,75,93,83,75,13,
355,295,20,40,90,30,90,25,13,
356,455,40,70,130,60,130,25,13,
357,460,99,68,83,72,87,51,1,18
358,425,65,50,70,95,80,65,11,
359,465,65,130,60,75,60,75,16,
359,565,65,150,60,115,60,115,16,
360,260,95,23,48,23,48,23,11,
361,300,50,50,50,50,50,50,14,
362,480,80,80,80,80,80,80,14,
362,580,80,120,80,120,80,100,14,
363,290,70,40,50,55,50,25,14,3
364,410,90,60,70,75,70,45,14,3
365,530,110,80,90,95,90,65,14,3
366,345,35,64,85,74,55,32,3,
367,485,55,104,105,94,75,52,3,
368,485,55,84,105,114,75,52,3,
369,485,100,90,130,45,65,55,3,12
370,330,43,30,55,40,65,97,3,
371,300,45,75,60,40,30,50,15,
372,420,65,95,100,60,50,50,15,
373,600,95,135,80,110,80,100,15,18
373,700,95,145,130,120,90,120,15,18
374,300,40,55,80,35,60,30,17,11
375,420,60,75,100,55,80,50,17,11
376,600,80,135,130,95,90,70,17,11
376,700,80,145,150,105,110,110,17,11
377,580,80,100,200,50,100,50,12,
378,580,80,50,100,100,200,50,14,
379,580,80,75,150,75,150,50,17,
380,600,80,80,90,110,130,110,15,11
380,700,80,100,120,140,150,110,15,11
381,600,80,90,80,130,110,110,15,11
381,700,80,130,100,160,120,110,15,11
382,670,100,100,90,150,140,90,3,
382,770,100,150,90,180,160,90,3,
383,670,100,150,140,100,90,90,8,
383,770,100,180,160,150,90,90,8,2
384,680,105,150,90,150,90,95,15,18
384,780,105,180,100,180,100,115,15,18
385,600,100,100,100,100,100,100,17,11
386,600,50,150,50,150,50,150,11,
386,600,50,180,20,180,20,150,11,
386,600,50,70,160,70,160,90,11,
386,600,50,95,90,95,90,180,11,
387,318,55,68,64,45,55,31,1,
388,405,75,89,85,55,65,36,1,
389,525,95,109,105,75,85,56,1,8
390,309,44,58,44,58,44,61,2,
391,405,64,78,52,78,52,81,2,10
392,534,76,104,71,104,71,108,2,10
393,314,53,51,53,61,56,40,3,
394,405,64,66,68,81,76,50,3,
395,530,84,86,88,111,101,60,3,17
396,245,40,55,30,30,30,60,5,18
397,340,55,75,50,40,40,80,5,18
398,485,85,120,70,50,60,100,5,18
399,250,59,45,40,35,40,31,5,
400,410,79,85,60,55,60,71,5,3
401,194,37,25,41,25,41,25,4,
402,384,77,85,51,55,51,65,4,
403,263,45,65,34,40,34,45,7,
404,363,60,85,49,60,49,60,7,
405,523,80,120,79,95,79,70,7,
406,280,40,30,35,50,70,55,1,6
407,515,60,70,65,125,105,90,1,6
408,350,67,125,40,30,30,58,12,
409,495,97,165,60,65,50,58,12,
410,350,30,42,118,42,88,30,12,17
411,495,60,52,168,47,138,30,12,17
412,224,40,29,45,29,45,36,4,
413,424,60,59,85,79,105,36,4,1
413,424,60,79,105,59,85,36,4,8
413,424,60,69,95,69,95,36,4,17
414,424,70,94,50,94,50,66,4,18
415,244,30,30,42,30,42,70,4,18
416,474,70,80,102,80,102,40,4,18
417,405,60,45,70,45,90,95,7,
418,330,55,65,35,60,30,85,3,
419,495,85,105,55,85,50,115,3,
420,275,45,35,45,62,53,35,1,
421,450,70,60,70,87,78,85,1,
422,325,76,48,48,57,62,34,3,
423,475,111,83,68,92,82,39,3,8
424,482,75,100,66,60,66,115,5,
425,348,90,50,34,60,44,70,13,18
426,498,150,80,44,90,54,80,13,18
427,350,55,66,44,44,56,85,5,
428,480,65,76,84,54,96,105,5,
428,580,65,136,94,54,96,135,5,10
429,495,60,60,60,105,105,105,13,
430,505,100,125,52,105,52,71,16,18
431,310,49,55,42,42,37,85,5,
432,452,71,82,64,64,59,112,5,
433,285,45,30,50,65,50,45,11,
434,329,63,63,47,41,41,74,6,16
435,479,103,93,67,71,61,84,6,16
436,300,57,24,86,24,86,23,17,11
437,500,67,89,116,79,116,33,17,11
438,290,50,80,95,10,45,10,12,
439,310,20,25,45,70,90,60,11,9
440,220,100,5,5,15,65,30,5,
441,411,76,65,45,92,42,91,5,18
442,485,50,92,108,92,108,35,13,16
443,300,58,70,45,40,45,42,15,8
444,410,68,90,65,50,55,82,15,8
445,600,108,130,95,80,85,102,15,8
445,700,108,170,115,120,95,92,15,8
446,390,135,85,40,40,85,5,5,
447,285,40,70,40,35,40,60,10,
448,525,70,110,70,115,70,90,10,17
448,625,70,145,88,140,70,112,10,17
449,330,68,72,78,38,42,32,8,
450,525,108,112,118,68,72,47,8,
451,330,40,50,90,30,55,65,6,4
452,500,70,90,110,60,75,95,6,16
453,300,48,61,40,61,40,50,6,10
454,490,83,106,65,86,65,85,6,10
455,454,74,100,72,90,72,46,1,
456,330,49,49,56,49,61,66,3,
457,460,69,69,76,69,86,91,3,
458,345,45,20,50,60,120,50,3,18
459,334,60,62,50,62,60,40,1,14
460,494,90,92,75,92,85,60,1,14
460,594,90,132,105,132,105,30,1,14
461,510,70,120,65,45,85,125,16,14
462,535,70,70,115,130,90,60,7,17
463,515,110,85,95,80,95,50,5,
464,535,115,140,130,55,55,40,8,12
465,535,100,100,125,110,50,50,1,
466,540,75,123,67,95,85,95,7,
467,540,75,95,67,125,95,83,2,
468,545,85,50,95,120,115,80,9,18
469,515,86,76,86,116,56,95,4,18
470,525,65,110,130,60,65,95,1,
471,525,65,60,110,130,95,65,14,
472,510,75,95,125,45,75,95,8,18
473,530,110,130,80,70,60,80,14,8
474,535,85,80,70,135,75,90,5,
475,518,68,125,65,65,115,80,11,10
475,618,68,165,95,65,115,110,11,10
476,525,60,55,145,75,150,40,12,17
477,525,45,100,135,65,135,45,13,
478,480,70,80,70,80,70,110,14,13
479,440,50,50,77,95,77,91,7,13
479,520,50,65,107,105,107,86,7,2
479,520,50,65,107,105,107,86,7,3
479,520,50,65,107,105,107,86,7,14
479,520,50,65,107,105,107,86,7,18
479,520,50,65,107,105,107,86,7,1
480,580,75,75,130,75,130,95,11,
481,580,80,105,105,105,105,80,11,
482,580,75,125,70,125,70,115,11,
483,680,100,120,120,150,100,90,17,15
484,680,90,120,100,150,120,100,3,15
485,600,91,90,106,130,106,77,2,17
486,670,110,160,110,80,110,100,5,
487,680,150,100,120,100,120,90,13,15
487,680,150,120,100,120,100,90,13,15
488,600,120,70,120,75,130,85,11,
489,480,80,80,80,80,80,80,3,
490,600,100,100,100,100,100,100,3,
491,600,70,90,90,135,90,125,16,
492,600,100,100,100,100,100,100,1,
492,600,100,103,75,120,75,127,1,18
493,720,120,120,120,120,120,120,5,
494,600,100,100,100,100,100,100,11,2
495,308,45,45,55,45,55,63,1,
496,413,60,60,75,60,75,83,1,
497,528,75,75,95,75,95,113,1,
498,308,65,63,45,45,45,45,2,
499,418,90,93,55,70,55,55,2,10
500,528,110,123,65,100,65,65,2,10
501,308,55,55,45,63,45,45,3,
502,413,75,75,60,83,60,60,3,
503,528,95,100,85,108,70,70,3,
504,255,45,55,39,35,39,42,5,
505,420,60,85,69,60,69,77,5,
506,275,45,60,45,25,45,55,5,
507,370,65,80,65,35,65,60,5,
508,500,85,110,90,45,90,80,5,
509,281,41,50,37,50,37,66,16,
510,446,64,88,50,88,50,106,16,
511,316,50,53,48,53,48,64,1,
512,498,75,98,63,98,63,101,1,
513,316,50,53,48,53,48,64,2,
514,498,75,98,63,98,63,101,2,
515,316,50,53,48,53,48,64,3,
516,498,75,98,63,98,63,101,3,
517,292,76,25,45,67,55,24,11,
518,487,116,55,85,107,95,29,11,
519,264,50,55,50,36,30,43,5,18
520,358,62,77,62,50,42,65,5,18
521,488,80,115,80,65,55,93,5,18
522,295,45,60,32,50,32,76,7,
523,497,75,100,63,80,63,116,7,
524,280,55,75,85,25,25,15,12,
525,390,70,105,105,50,40,20,12,
526,515,85,135,130,60,80,25,12,
527,313,55,45,43,55,43,72,11,18
528,425,67,57,55,77,55,114,11,18
529,328,60,85,40,30,45,68,8,
530,508,110,135,60,50,65,88,8,17
531,445,103,60,86,60,86,50,5,
531,545,103,60,126,80,126,50,5,9
532,305,75,80,55,25,35,35,10,
533,405,85,105,85,40,50,40,10,
534,505,105,140,95,55,65,45,10,
535,294,50,50,40,50,40,64,3,
536,384,75,65,55,65,55,69,3,8
537,509,105,95,75,85,75,74,3,8
538,465,120,100,85,30,85,45,10,
539,465,75,125,75,30,75,85,10,
540,310,45,53,70,40,60,42,4,1
541,380,55,63,90,50,80,42,4,1
542,500,75,103,80,70,80,92,4,1
543,260,30,45,59,30,39,57,4,6
544,360,40,55,99,40,79,47,4,6
545,485,60,100,89,55,69,112,4,6
546,280,40,27,60,37,50,66,1,9
547,480,60,67,85,77,75,116,1,9
548,280,45,35,50,70,50,30,1,
549,480,70,60,75,110,75,90,1,
550,460,70,92,65,80,55,98,3,
551,292,50,72,35,35,35,65,8,16
552,351,60,82,45,45,45,74,8,16
553,519,95,117,80,65,70,92,8,16
554,315,70,90,45,15,45,50,2,
555,480,105,140,55,30,55,95,2,
555,540,105,30,105,140,105,55,2,11
556,461,75,86,67,106,67,60,1,
557,325,50,65,85,35,35,55,4,12
558,475,70,95,125,65,75,45,4,12
559,348,50,75,70,35,70,48,16,10
560,488,65,90,115,45,115,58,16,10
561,490,72,58,80,103,80,97,11,18
562,303,38,30,85,55,65,30,13,
563,483,58,50,145,95,105,30,13,
564,355,54,78,103,53,45,22,3,12
565,495,74,108,133,83,65,32,3,12
566,401,55,112,45,74,45,70,12,18
567,567,75,140,65,112,65,110,12,18
568,329,50,50,62,40,62,65,6,
569,474,80,95,82,60,82,75,6,
570,330,40,65,40,80,40,65,16,
571,510,60,105,60,120,60,105,16,
572,300,55,50,40,40,40,75,5,
573,470,75,95,60,65,60,115,5,
574,290,45,30,50,55,65,45,11,
575,390,60,45,70,75,85,55,11,
576,490,70,55,95,95,110,65,11,
577,290,45,30,40,105,50,20,11,
578,370,65,40,50,125,60,30,11,
579,490,110,65,75,125,85,30,11,
580,305,62,44,50,44,50,55,3,18
581,473,75,87,63,87,63,98,3,18
582,305,36,50,50,65,60,44,14,
583,395,51,65,65,80,75,59,14,
584,535,71,95,85,110,95,79,14,
585,335,60,60,50,40,50,75,5,1
586,475,80,100,70,60,70,95,5,1
587,428,55,75,60,75,60,103,7,18
588,315,50,75,45,40,45,60,4,
589,495,70,135,105,60,105,20,4,17
590,294,69,55,45,55,55,15,1,6
591,464,114,85,70,85,80,30,1,6
592,335,55,40,50,65,85,40,3,13
593,480,100,60,70,85,105,60,3,13
594,470,165,75,80,40,45,65,3,
595,319,50,47,50,57,50,65,4,7
596,472,70,77,60,97,60,108,4,7
597,305,44,50,91,24,86,10,1,17
598,489,74,94,131,54,116,20,1,17
599,300,40,55,70,45,60,30,17,
600,440,60,80,95,70,85,50,17,
601,520,60,100,115,70,85,90,17,
602,275,35,55,40,45,40,60,7,
603,405,65,85,70,75,70,40,7,
604,515,85,115,80,105,80,50,7,
605,335,55,55,55,85,55,30,11,
606,485,75,75,75,125,95,40,11,
607,275,50,30,55,65,55,20,13,2
608,370,60,40,60,95,60,55,13,2
609,520,60,55,90,145,90,80,13,2
610,320,46,87,60,30,40,57,15,
611,410,66,117,70,40,50,67,15,
612,540,76,147,90,60,70,97,15,
613,305,55,70,40,60,40,40,14,
614,485,95,110,80,70,80,50,14,
615,485,70,50,30,95,135,105,14,
616,305,50,40,85,40,65,25,4,
617,495,80,70,40,100,60,145,4,
618,471,109,66,84,81,99,32,8,7
619,350,45,85,50,55,50,65,10,
620,510,65,125,60,95,60,105,10,
621,485,77,120,90,60,90,48,15,
622,303,59,74,50,35,50,35,8,13
623,483,89,124,80,55,80,55,8,13
624,340,45,85,70,40,40,60,16,17
625,490,65,125,100,60,70,70,16,17
626,490,95,110,95,40,95,55,5,
627,350,70,83,50,37,50,60,5,18
628,510,100,123,75,57,75,80,5,18
629,370,70,55,75,45,65,60,16,18
630,510,110,65,105,55,95,80,16,18
631,484,85,97,66,105,66,65,2,
632,484,58,109,112,48,48,109,4,17
633,300,52,65,50,45,50,38,16,15
634,420,72,85,70,65,70,58,16,15
635,600,92,105,90,125,90,98,16,15
636,360,55,85,55,50,55,60,4,2
637,550,85,60,65,135,105,100,4,2
638,580,91,90,129,90,72,108,17,10
639,580,91,129,90,72,90,108,12,10
640,580,91,90,72,90,129,108,1,10
641,580,79,115,70,125,80,111,18,
641,580,79,100,80,110,90,121,18,
642,580,79,115,70,125,80,111,7,18
642,580,79,105,70,145,80,101,7,18
643,680,100,120,100,150,120,90,15,2
644,680,100,150,120,120,100,90,15,7
645,600,89,125,90,115,80,101,8,18
645,600,89,145,90,105,80,91,8,18
646,660,125,130,90,130,90,95,15,14
646,700,125,170,100,120,90,95,15,14
646,700,125,120,90,170,100,95,15,14
